Match ID,Radiant 1,Radiant 2,Radiant 3,Radiant 4,Radiant 5,Dire 1,Dire 2,Dire 3,Dire 4,Dire 5,Wins,
2671475076,Luna,Outworld Devourer,Weaver,Doom,Keeper of the Light,Morphling,Tinker,Nyx Assassin,Venomancer,Pudge,Dire,
2671480689,Morphling ,Legion Commander,Sand King,Bounty Hunter,Silencer,Anti-Mage,Tiny,Riki,Pudge,Keeper of the Light,Radiant,
2671488137,Magnus,Huskar,Abaddon,Drow Ranger,Winter Wyvern,Phantom Assassin,Storm Spirit,Sand King,Bounty Hunter,Warlock,Radiant,
2671493105,Riki,Mirana,Earthshaker,Wraith King,Keeper of the Light,Phantom Lancer,Shadow Fiend,Centaur Warrunner,Pudge,Lion,Dire,
2671489888,Drow Ranger,Invoker,Axe,Riki,Shadow Demon,Juggernaut,Alchemist,Slardar,Pudge,Vengeful Spirit,Dire,
2671491352,Phantom Assassin,Storm Spirit,Pudge,Riki,Bane,Luna,Tinker,Faceless Void,Lifestealer,Ancient Apparition,Radiant,
2671485011,Slark,Windranger,Spirit Breaker,Riki,Necrophos,Anti-Mage,Puck,Axe,Rubick,Disruptor,Dire,
2671486896,Wraith King,Windranger,Centaur Warrunner,Night Stalker,Omniknight,Troll Warlord,Juggernaut,Necrophos,Riki,Lion,Dire,
2671488141,Luna,Storm Spirit,Windranger,Kunkka,Jakiro,Phantom Assassin,Invoker,Juggernaut,Pudge,Keeper of the Light,Dire,
2671494670,Phantom Assassin,Alchemist,Bristleback,Legion Commander,Zeus,Morphling,Razor,Timbersaw,Lion,Bounty Hunter,Dire,
2671492600,Luna,Timbersaw,Nyx Assassin,Enigma,Jakiro,Juggernaut,Invoker,Bloodseeker,Phoenix,Windranger,Radiant,
2671481382,Phantom Assassin,Juggernaut,Riki,Spirit Breaker,Shadow Demon,Tiny,Omniknight,Axe,Bounty Hunter,Warlock,Dire,
2671496656,Wraith King,Arc Warden,Phoenix,Ogre Magi,Riki,Drow Ranger,Luna,Faceless Void,Elder Titan,Shadow Demon,Dire,
2671497681,Juggernaut,Queen of Pain,Clockwerk,Skywrath Mage,Omniknight,Slark,Zeus,Magnus,Mirana,Treant Protector,Dire,
2671494410,Troll Warlord,Timbersaw,Sand King,Centaur Warrunner,Undying,Lifestealer,Alchemist,Batrider,Mirana,Rubick,Dire,
2671496690,Morphling ,Necrophos,Nyx Assassin,Spirit Breaker,Ancient Apparition,Luna,Invoker,Sand King,Shadow Demon,Riki,Radiant,
2671506083,Juggernaut,Kunkka,Mirana,Legion Commander,Crystal Maiden,Sven,Pudge,Elder Titan,Enigma,Dazzle,Radiant,
2671479046,Drow Ranger,Morphling,Lone Druid,Batrider,Crystal Maiden,Anti-Mage,Invoker,Arc Warden,Tusk,Nyx Assassin,Dire,
2671479847,Anti-Mage,Storm Spirit,Timbersaw,Puck,Mirana,Spectre,Viper,Slark,Axe,Lion,Radiant,
